comment_id,model_relatability
Ugw-bgrPbfC0YN3Fy7B4AaABAg,Relatable
Ugw-gaMAEa1Fw02DsNN4AaABAg,Relatable
Ugw-hMTACf4ibztrFAZ4AaABAg,Neutral
Ugw-HNzJbxn2wlKoYu14AaABAg,Relatable
Ugw-I3Nd4AYhMn3MJMd4AaABAg,Neutral
Ugw-inIiMe9NAwEjf2d4AaABAg,Neutral
Ugw-IYVItu9de5cqgsN4AaABAg,Relatable
Ugw-j642hv1OmHr-RrF4AaABAg,Neutral
Ugw-JJjtKHVNw7SK-yJ4AaABAg,Neutral
Ugw-KoGkeA00sgvUU9J4AaABAg,Relatable
Ugw-nhpCR3mKf53snkF4AaABAg,Neutral
Ugw-OF1v1qCjJhziSHl4AaABAg,Relatable
Ugw-qLIAvE1__yhVmSx4AaABAg,Neutral
Ugw-s10f2ZceqxopXlV4AaABAg,Relatable
Ugw-tqNa1V1oC7iZXRB4AaABAg,Neutral
Ugw-u181fZoxNgth7jd4AaABAg,Neutral
Ugw-UryzbeuMMZ4ok5N4AaABAg,Neutral
Ugw-WfgrCBP6OxhPHsJ4AaABAg,Relatable
Ugw-xh0aF-igk5IXuTh4AaABAg,Neutral
Ugw-YBMexMU9fiwm0h54AaABAg,Neutral
Ugw03-JejR436p2mgB54AaABAg,Neutral
Ugw058mpP6vME-au2oN4AaABAg,Neutral
Ugw06hhKzysYm14s2LJ4AaABAg,Neutral
Ugw08biH4YGB8tC-oBB4AaABAg,Relatable
Ugw08KmlQXQkB71NETB4AaABAg,Relatable
Ugw08Q-jZkqa9qiuoIt4AaABAg,Neutral
Ugw0B7j-g-HG0DKduRp4AaABAg,Neutral
Ugw0CCgBGHYpsVu0kbR4AaABAg,Neutral
Ugw0cLIq3rs148fltiJ4AaABAg,Relatable
Ugw0CsvB5ChREVjgKX94AaABAg,Neutral
Ugw0h_ZZHwEQzr3Q29Z4AaABAg,Neutral
Ugw0HS08-Sp3VaaotTl4AaABAg,Neutral
Ugw0J3BLjzSMBA5V7qN4AaABAg,Relatable
Ugw0Jhcm2AZcc4jlE_R4AaABAg,Relatable
Ugw0jTfUm6EKp5mhxTV4AaABAg,Neutral
Ugw0Kjv8x1BnN3_i7sh4AaABAg,Neutral
Ugw0MBOb9ZnTBUlbOBd4AaABAg,Neutral
Ugw0mP0cE1v_F2DJjjh4AaABAg,Relatable
Ugw0mpSq3KJc-wKOAQl4AaABAg,Relatable
Ugw0nulHzDc2twa67cl4AaABAg,Neutral
Ugw0oj1bkL72dmbCbY94AaABAg,Neutral
Ugw0PEGLt_TUVD1JIzt4AaABAg,Neutral
Ugw0pnwOdfqciOVjxUl4AaABAg,Neutral
Ugw0Q1iQAerK0mjj19d4AaABAg,Relatable
Ugw0qnl_Y3fGP0TMFKd4AaABAg,Relatable
Ugw0RfkNNBAYr7-4MtJ4AaABAg,Neutral
Ugw0rmKjWvg3slJ5lsl4AaABAg,Neutral
Ugw0T41n23dFss4Och94AaABAg,Relatable
Ugw0T8m8q8CyUnJcGrh4AaABAg,Neutral
Ugw0tnWYMYeRqdJ4QdZ4AaABAg,Neutral
Ugw0TuQcL3aQijVm2gN4AaABAg,Relatable
Ugw0ui4K1rKQZskKmtd4AaABAg,Neutral
Ugw0VgUzpBdxcY0XyTt4AaABAg,Neutral
Ugw0x_GPsa7eWEYz-jZ4AaABAg,Relatable
Ugw0xatSc8ZLxB7Jxtt4AaABAg,Neutral
Ugw0XOSrMvGSSFkm1MV4AaABAg,Relatable
Ugw0Ze4TxuQmxyZ0fZp4AaABAg,Neutral
Ugw0ZyWVsYHHu7HtdP14AaABAg,Relatable
Ugw1-GHMr1XsNWYMfTt4AaABAg,Relatable
Ugw1-J9tjEtgdnV1zpR4AaABAg,Neutral
Ugw10wb2mlYg0YSWX1F4AaABAg,Neutral
Ugw13idtpuGyAwaJNNx4AaABAg,Relatable
Ugw15BUWYkKbbXAPwaJ4AaABAg,Neutral
Ugw15efhqf1Vit4W0Q14AaABAg,Neutral
Ugw18IUI1DOUAdkZ0zF4AaABAg,Neutral
Ugw18YCCqO_nQebQHJl4AaABAg,Relatable
Ugw19lkAcvoy9Jx1SRt4AaABAg,Neutral
Ugw1A50SJqv3kMlPPU94AaABAg,Relatable
Ugw1AMwlPIe4N2el-6B4AaABAg,Neutral
Ugw1BzO3gk3TgZwdnyJ4AaABAg,Relatable
Ugw1ftsz15gBQlokxzN4AaABAg,Neutral
Ugw1hRQK7Dsi0tu72p54AaABAg,Relatable
Ugw1INg-ZVHc6zv3UdV4AaABAg,Neutral
Ugw1iV60y0dqQGMOpY14AaABAg,Neutral
Ugw1JonNpDyuTHcmh2Z4AaABAg,Neutral
Ugw1K7HftP0rpzQU45h4AaABAg,Neutral
Ugw1kP451g84lGtM8nR4AaABAg,Relatable
Ugw1KvYbdkHwfSkKrtt4AaABAg,Neutral
Ugw1lUf8bVxwC0QPn5R4AaABAg,Relatable
Ugw1MxfOpV19xIIryDh4AaABAg,Neutral
Ugw1N5-6nb7zDhwn5VV4AaABAg,Neutral
Ugw1nRVcPXR3QI0xsTR4AaABAg,Relatable
Ugw1pqnkNZ06NunamLZ4AaABAg,Neutral
Ugw1RDgYN0K0RK4OfZl4AaABAg,Neutral
Ugw1ruexIh6sokkReVt4AaABAg,Neutral
Ugw1TGsO5J45TEZUuMB4AaABAg,Neutral
Ugw1wHMPayvYDFaV67N4AaABAg,Neutral
Ugw1yU_LHcTAlT1B77V4AaABAg,Neutral
Ugw1zLtouCKHXD6EwZx4AaABAg,Neutral
Ugw2_I_m80XDYFxd_UF4AaABAg,Neutral
Ugw21VNcmlYy9dnTdKV4AaABAg,Neutral
Ugw23dVG6vJYA5Z0EZp4AaABAg,Neutral
Ugw24pQdcgROevETm014AaABAg,Neutral
Ugw24Uk3rDalkn5Y4pd4AaABAg,Neutral
Ugw25LLyo1EfMMZdItp4AaABAg,Neutral
Ugw25naJlF_tKrDIv7d4AaABAg,Neutral
Ugw27nDxHcPjE9r6Mod4AaABAg,Neutral
Ugw2BULkI9GQJGAQyWV4AaABAg,Neutral
Ugw2cFH5SR5nf5b1_EV4AaABAg,Neutral
Ugw2DkTO1Qh89uAPSsR4AaABAg,Neutral
Ugw2dMJ-PUGgNGoYDAV4AaABAg,Neutral
Ugw2E6uYEOL7YAmFJlh4AaABAg,Neutral
Ugw2eIYC2pGRcP0H9JF4AaABAg,Neutral
Ugw2ej80P37fnYwWfAZ4AaABAg,Neutral
Ugw2EWwhqTIwQGZDR-J4AaABAg,Neutral
Ugw2fAzEbhxvmzVAZxB4AaABAg,Relatable
Ugw2fNP-FWHx-b-CpQd4AaABAg,Neutral
Ugw2GrfCcs23Q4hwIMl4AaABAg,Neutral
Ugw2gY-X5iMKCcZ_2DN4AaABAg,Neutral
Ugw2H11doSiZsOeFwsJ4AaABAg,Neutral
Ugw2h7lmc5FvW5LP2IF4AaABAg,Relatable
Ugw2HgjvjmXBRqvY5gF4AaABAg,Neutral
Ugw2IRiq5HgihRaK7sZ4AaABAg,Relatable
Ugw2KSDOk6k33Y3o_IV4AaABAg,Neutral
Ugw2lJ3pu69POS2k9pJ4AaABAg,Neutral
Ugw2m2kLZnzzvLiahEp4AaABAg,Neutral
Ugw2No0oUY2BAaRCGPh4AaABAg,Neutral
Ugw2pUryThIPB2fkBCd4AaABAg,Neutral
Ugw2pYaseOIyj_Wy-CZ4AaABAg,Relatable
Ugw2q8Bl-ysF6mdqGIV4AaABAg,Neutral
Ugw2qtjUYZymuUBFDSJ4AaABAg,Relatable
Ugw2tyqgeCeNqT6cjih4AaABAg,Neutral
Ugw2uUBTsPcjk1SuWdd4AaABAg,Relatable
Ugw2uZ5_POMoK6IExEZ4AaABAg,Neutral
Ugw2vDwl5oOPbrvvpQp4AaABAg,Neutral
Ugw2w_2gKFPiokr6W_Z4AaABAg,Neutral
Ugw2XIlpSW_As1KHq_V4AaABAg,Neutral
Ugw2XuR0tw4AYtZvbR94AaABAg,Neutral
Ugw2yFgdpMBXJUl__gh4AaABAg,Relatable
Ugw2YWUA-dulWjXfeN14AaABAg,Relatable
Ugw33UQjU2ajEpQpG7h4AaABAg,Relatable
Ugw34LU8eAZGR2mu-c94AaABAg,Neutral
Ugw37NqJjR5BBcVUbaB4AaABAg,Neutral
Ugw3C_1AQ_Am18K72vF4AaABAg,Neutral
Ugw3dZ7t_Jr2eGTMGid4AaABAg,Neutral
Ugw3gId0wAMFSUNc37p4AaABAg,Relatable
Ugw3H_nq32AcHsI5Hmd4AaABAg,Relatable
Ugw3HGJMy6C3Ty3vQ-p4AaABAg,Neutral
Ugw3ltaId534utk0P7p4AaABAg,Neutral
Ugw3m3Mq4uX_Vq5uord4AaABAg,Neutral
Ugw3N6H6puC_Ezhi1Dd4AaABAg,Neutral
Ugw3NoeSicX1roBx9eJ4AaABAg,Relatable
Ugw3O9UzqdwiH5odnJx4AaABAg,Neutral
Ugw3qpBBPk1ezrS3JBN4AaABAg,Neutral
Ugw3sFsU65QICrhCMQl4AaABAg,Relatable
Ugw3sij7DxAtDNNcsKV4AaABAg,Neutral
Ugw3SrdzKNLPe0Df7Cl4AaABAg,Neutral
Ugw3Tg4_uWFr-usy2SV4AaABAg,Neutral
Ugw3tj6KDJsmXo0OSVh4AaABAg,Relatable
Ugw3U_Y3TWxkvG4Ntw54AaABAg,Neutral
Ugw3UIQA5l4W_EbfjS94AaABAg,Neutral
Ugw3V6FOBSXFzwXlmpp4AaABAg,Relatable
Ugw3X-1W-vTJeaHKtut4AaABAg,Relatable
Ugw3YSnQTyrfgwOd2zN4AaABAg,Relatable
Ugw3zGr1cpSG4pQSlPV4AaABAg,Neutral
Ugw3zmw6eREFgSNeDqF4AaABAg,Relatable
Ugw4_EK0wK-1BVJ0Iv14AaABAg,Neutral
Ugw4_wu9rVLRxOE12N54AaABAg,Relatable
Ugw43AAHncifVTRAalR4AaABAg,Neutral
Ugw48yipDR3riYd5eEV4AaABAg,Relatable
Ugw4BbAMc2nyOn3xDRx4AaABAg,Neutral
Ugw4cOVE4tEdP43cDsF4AaABAg,Neutral
Ugw4Cr96eKOG_ZABqhh4AaABAg,Relatable
Ugw4eqE8JWNl5Yw3zL94AaABAg,Neutral
Ugw4gz4spS0qFaRH1v54AaABAg,Neutral
Ugw4I3zgrNB-S49W2lh4AaABAg,Neutral
Ugw4jPQ7fkYHFRC25k94AaABAg,Neutral
Ugw4KFNchE4OcbR9bQd4AaABAg,Neutral
Ugw4LzueW9oWRcE4i3h4AaABAg,Neutral
Ugw4m26VmEhSnAdmhhp4AaABAg,Neutral
Ugw4mhCSozCidAvpDPd4AaABAg,Neutral
Ugw4mJWGIOkY2a-jyQh4AaABAg,Neutral
Ugw4mT4fxPnXuTAsgHl4AaABAg,Relatable
Ugw4mVQ_J-lxXffNIVB4AaABAg,Relatable
Ugw4OgWxOh0xtcaXDNB4AaABAg,Neutral
Ugw4ovRZwz_XD-Mq5UB4AaABAg,Relatable
Ugw4OyhmL3lzvsakCAh4AaABAg,Neutral
Ugw4qmbj9TQ9SNBEvmJ4AaABAg,Neutral
Ugw4TJ_3-wXv1vrEk0F4AaABAg,Neutral
Ugw4UsVRJJ-5051GIQh4AaABAg,Neutral
Ugw4W_xn8TnpP3joPbN4AaABAg,Neutral
Ugw4WCv8uARdfJa2Hpp4AaABAg,Relatable
Ugw4wgHACdWVFvaeJ1F4AaABAg,Neutral
Ugw4x3vUHhNXMmY_9JR4AaABAg,Neutral
Ugw4XA7v98uGvvCTMZt4AaABAg,Neutral
Ugw4xg4vKsXmvhgNnuF4AaABAg,Neutral
Ugw4ZW4LdwpjHqeUBbJ4AaABAg,Neutral
Ugw5-fGgpeAAxXb0spd4AaABAg,Neutral
Ugw50iaUT1FfxnfhMi14AaABAg,Relatable
Ugw54stow1TsOwAHIFJ4AaABAg,Relatable
Ugw559Ga6BlRHob6CEV4AaABAg,Relatable
Ugw56iqkt-o0AFd81-J4AaABAg,Neutral
Ugw571Pj1MM_CgalT5l4AaABAg,Neutral
Ugw58jio0iv_dEofYu54AaABAg,Neutral
Ugw58NTjWIISpcmZq194AaABAg,Relatable
Ugw59Pa6FTF8vfkToQd4AaABAg,Neutral
Ugw5Bl20Au63dW807jR4AaABAg,Neutral
Ugw5bYnsXnYwDPerFlF4AaABAg,Relatable
Ugw5CXclkw5mxJ71boF4AaABAg,Neutral
Ugw5G0dqVanyLAOmION4AaABAg,Neutral
Ugw5HYrzyWhgF_TiPwR4AaABAg,Neutral
Ugw5jAmXP353-BKmoaN4AaABAg,Relatable
Ugw5JzQsg0t9pxfA44p4AaABAg,Relatable
Ugw5lRvnSlu0V9HUTfR4AaABAg,Relatable
Ugw5N3ZAIVWTuaiqj9N4AaABAg,Neutral
Ugw5OKUbe7xgT_mgfN54AaABAg,Neutral
Ugw5q0zBH6RLS26CIS94AaABAg,Relatable
Ugw5qvsw5PgM2wrkATx4AaABAg,Relatable
Ugw5rBHqFapDy9ZToM54AaABAg,Neutral
Ugw5smyOqZ1wAmjX_5p4AaABAg,Neutral
Ugw5SsdDsEuQmCbY65V4AaABAg,Neutral
Ugw5thJgghnOGXNAOBh4AaABAg,Neutral
Ugw5UPK4OpYWb9DMyBt4AaABAg,Relatable
Ugw5uwmo_5b6GydKIBl4AaABAg,Neutral
Ugw5vO5WOS51Ku4E1WN4AaABAg,Neutral
Ugw5W6dUmIRRXzngHEN4AaABAg,Neutral
Ugw5WYETRvsnjLeb75d4AaABAg,Relatable
Ugw5YWqz8QrcnaNaEiV4AaABAg,Neutral
Ugw5zvhKg_QHpq5i5tN4AaABAg,Neutral
Ugw5ZwVV6rYO3lK-DMN4AaABAg,Neutral
Ugw6_0Y_FVeCEAI7-Vt4AaABAg,Relatable
Ugw60hiqnkfENH7k8b14AaABAg,Relatable
Ugw63FOKDIReuexP8t94AaABAg,Neutral
Ugw68jLH9zSJa9gdGMN4AaABAg,Neutral
Ugw68U5SgQLJ1kl29up4AaABAg,Relatable
Ugw6aFTCBwXpwyEXOhZ4AaABAg,Neutral
Ugw6F4-esAsdQBuwS754AaABAg,Relatable
Ugw6FcnpJ1Y6AhD8gTN4AaABAg,Neutral
Ugw6G3KohE0jEbi9enB4AaABAg,Relatable
Ugw6gtc-ZYG0XDB7h5p4AaABAg,Relatable
Ugw6gUM7owFYsdk-mVl4AaABAg,Neutral
Ugw6H6CKgm786C05dPB4AaABAg,Relatable
Ugw6Kfy42v3kyBYpQ9B4AaABAg,Neutral
Ugw6L51qc__idZLnmiJ4AaABAg,Neutral
Ugw6NdqbIyJezcen9894AaABAg,Neutral
Ugw6NP_6YXHdH3cGVzF4AaABAg,Relatable
Ugw6PMf9HNbZiCU4Fyt4AaABAg,Neutral
Ugw6qc2OFST_EpYd5P54AaABAg,Neutral
Ugw6Qzh8WISm76JekQB4AaABAg,Neutral
Ugw6RaOwvJhmFDWZjU14AaABAg,Neutral
Ugw6sXN_ZOWYmeeOdDp4AaABAg,Neutral
Ugw6uUZBJ-qPLnYnNK94AaABAg,Neutral
Ugw6VWPy5p-XKvkRjmN4AaABAg,Neutral
Ugw6WjrNQqjJT2j2RGV4AaABAg,Neutral
Ugw6X_t_8CXxOL6o0O94AaABAg,Neutral
Ugw6x40xlZ_kpjCPYMF4AaABAg,Relatable
Ugw6YRXcb9hfX8FEkuN4AaABAg,Neutral
Ugw6z446YnJ3eeWzpzp4AaABAg,Neutral
Ugw6Znu4hAXvNNMxev54AaABAg,Neutral
Ugw6ZUTV5hpxhsE98U54AaABAg,Neutral
Ugw70g6Zw1jVfxciAjB4AaABAg,Neutral
Ugw74myCxYGtiSQNDo54AaABAg,Neutral
Ugw77WSNz7IcJwPdxLp4AaABAg,Neutral
Ugw78vDWYDma20WhQ3p4AaABAg,Relatable
Ugw7Bg3pjRhxJum6xJt4AaABAg,Neutral
Ugw7chb06kAqdvSX3Y54AaABAg,Neutral
Ugw7DD6ekrlmgeq2afd4AaABAg,Neutral
Ugw7DERufPVgZLHWlmR4AaABAg,Relatable
Ugw7eg6LcBMdQIqqt6x4AaABAg,Neutral
Ugw7ehlJHC6zyEWUz3J4AaABAg,Relatable
Ugw7FN-rGq_XuSxOfqx4AaABAg,Relatable
Ugw7h2-HjVWT6lRr8At4AaABAg,Neutral
Ugw7hvwWWx6bQkgWAS94AaABAg,Neutral
Ugw7I5Eyy0-2PGAgsbZ4AaABAg,Neutral
Ugw7IT2Jp0BPbIpN8tJ4AaABAg,Neutral
Ugw7J_ailwjXh_DT5454AaABAg,Neutral
Ugw7j_gh96cAOIpnXnF4AaABAg,Neutral
Ugw7lm8rLFlKNJIxmRl4AaABAg,Neutral
Ugw7Lpu6dpaJWWa7tch4AaABAg,Neutral
Ugw7lRFt8LQZe4Q4L_h4AaABAg,Relatable
Ugw7mpuRMr2gNY9T_Fd4AaABAg,Relatable
Ugw7noA8Nhv-rQXumax4AaABAg,Relatable
Ugw7nvvGDqyZkSW3z4d4AaABAg,Relatable
Ugw7Od6nzzgQvg0y8Np4AaABAg,Relatable
Ugw7OkchLFUuLZVd2QV4AaABAg,Neutral
Ugw7pr-2fIb9Qu-BKP14AaABAg,Neutral
Ugw7qDMdmWkA23zMBRt4AaABAg,Relatable
Ugw7R1LI4ZJD5mrw9mB4AaABAg,Relatable
Ugw7SzM6ikpbjoJ1Gmx4AaABAg,Neutral
Ugw7u0SQWxT4aXUxXh94AaABAg,Relatable
Ugw7urITlnDD512OcMt4AaABAg,Neutral
Ugw7vkeIza0rCpv0vUp4AaABAg,Relatable
Ugw7wjv4lZey60QtFkR4AaABAg,Relatable
Ugw7yuyP8IcpO4yWw0h4AaABAg,Neutral
Ugw7Zln4gX4Go1evMft4AaABAg,Relatable
Ugw7ZPfFC8qepbYydI94AaABAg,Neutral
Ugw8-878OmtwV-J6h7F4AaABAg,Neutral
Ugw8-ucTd5F85WRsA0F4AaABAg,Neutral
Ugw80DwxPjXieu8oC0l4AaABAg,Neutral
Ugw81W1fZm1bC4iq8Qh4AaABAg,Relatable
Ugw82gElXGZnBH41w114AaABAg,Relatable
Ugw82vFzSSNtJBhC9Xt4AaABAg,Neutral
Ugw85xwezAUARpqrg494AaABAg,Neutral
Ugw87tJs6NpIwof2uIV4AaABAg,Neutral
Ugw88jZhdNbz1VtluIJ4AaABAg,Neutral
Ugw88N6pvjvYcnOIffx4AaABAg,Relatable
Ugw8Bhtz0YKDNW4Pe1Z4AaABAg,Relatable
Ugw8bJEch86CUhyvFT94AaABAg,Neutral
Ugw8bzeELU7rOS79cHB4AaABAg,Neutral
Ugw8c4D22M06z6SDkrl4AaABAg,Neutral
Ugw8ch8SAZK63r8s1JR4AaABAg,Relatable
Ugw8DCKfzTIp6Zb4nph4AaABAg,Neutral
Ugw8DlhlSKRObkRDmQ94AaABAg,Neutral
Ugw8DQH1TdZ-HO-GNA54AaABAg,Neutral
Ugw8dZN85xRSGJWkyPx4AaABAg,Neutral
Ugw8EgJTmJSiTqogimp4AaABAg,Relatable
Ugw8fxA1MSCwRLM6hjN4AaABAg,Neutral
Ugw8G520oeXFrfanQER4AaABAg,Neutral
Ugw8gnIyXl5rqupSX3V4AaABAg,Neutral
Ugw8gv_AmZxzkOiRtnR4AaABAg,Relatable
Ugw8IADppSMAXP70Wqd4AaABAg,Relatable
Ugw8ij9VhB7VXtdXCuB4AaABAg,Neutral
Ugw8jsGSVLCtKFB6x7J4AaABAg,Neutral
Ugw8JyQalOJ6NZsF-dx4AaABAg,Neutral
Ugw8LlCQ74l5ZZWkEDl4AaABAg,Neutral
Ugw8ms_Wc9QsoSFWwGB4AaABAg,Neutral
Ugw8NazYxIVytYpW-254AaABAg,Relatable
Ugw8nHZ_-ydnXSmcNVZ4AaABAg,Neutral
Ugw8nQLhdcbk8PBBIih4AaABAg,Neutral
Ugw8omAD0iqHfaWaT4x4AaABAg,Neutral
Ugw8oOB5RjFP2zlCtH14AaABAg,Neutral
Ugw8OYUx0o3CJjeJ_IV4AaABAg,Neutral
Ugw8qBneLGokuYUTiVd4AaABAg,Relatable
Ugw8uA_vu-z4XQQJ9p94AaABAg,Neutral
Ugw8UAb9MysGEBJXRyd4AaABAg,Relatable
Ugw8Uf_UnmDqmwKZnGR4AaABAg,Neutral
Ugw8V9tjIfiMmJP6UkJ4AaABAg,Neutral
Ugw8vep_rtSeytomttV4AaABAg,Relatable
Ugw8vKXRxmDycwZKWEZ4AaABAg,Relatable
Ugw8w5ZYbpowlDSecld4AaABAg,Relatable
Ugw8WCRLQfVTGuhCVrB4AaABAg,Relatable
Ugw8WGjComw6nM0pPll4AaABAg,Neutral
Ugw8wsz6sOJ878vRYVZ4AaABAg,Neutral
Ugw8x0ixOh3g9txqjF54AaABAg,Neutral
Ugw8xAyZhyX4dVaKmct4AaABAg,Neutral
Ugw8XkCIUCRKNlWjxv54AaABAg,Neutral
Ugw8YFiIVoxp-Ya8yCV4AaABAg,Relatable
Ugw8Zk41vGcCvCJLCz14AaABAg,Neutral
Ugw8ZLntRqfbCCWvcoV4AaABAg,Neutral
Ugw8zUHTS6h7Yk84vq14AaABAg,Neutral
Ugw90CLWaWN2Z1DEfSB4AaABAg,Neutral
Ugw93zwr8-KAY7aRFGB4AaABAg,Neutral
Ugw9A1yWSGw8dLKigcp4AaABAg,Relatable
Ugw9a6JfvNmide43wj14AaABAg,Neutral
Ugw9aPkOsOkn46vPGt94AaABAg,Neutral
Ugw9aQ4mS3W-RIWg5rF4AaABAg,Neutral
Ugw9dd9nZGvxr7ecIqF4AaABAg,Relatable
Ugw9dtSIrN0_fuDca3F4AaABAg,Neutral
Ugw9e8lxIC1Z5Y-gxOp4AaABAg,Neutral
Ugw9FHqN5v-U809lYZV4AaABAg,Neutral
Ugw9GkgwfU7y2s6MKXR4AaABAg,Neutral
Ugw9hAW86pWu6EWkYJt4AaABAg,Neutral
Ugw9Hqqaj8mXlo-voIV4AaABAg,Neutral
Ugw9KmmxbtkRd8sNliF4AaABAg,Neutral
Ugw9kR77bk1RWidS25l4AaABAg,Relatable
Ugw9Mke_2vKrN30d5o94AaABAg,Neutral
Ugw9NB-t3eUuNK5WDAt4AaABAg,Neutral
Ugw9o7_7_QOH0r9YdQ94AaABAg,Neutral
Ugw9OB6UCLqxXNAvpFd4AaABAg,Relatable
Ugw9R0V6JZ3AA4I-kPZ4AaABAg,Neutral
Ugw9RzcykFNBu9fCrVt4AaABAg,Neutral
Ugw9syaTez_nfWLuAxl4AaABAg,Relatable
Ugw9t1044dDPmnJgLyJ4AaABAg,Relatable
Ugw9TVXQNsdDBR8xIZ94AaABAg,Neutral
Ugw9u6LA6fZOh1nmXMF4AaABAg,Neutral
Ugw9yI7GztyxSAU7FYl4AaABAg,Relatable
Ugw9YRXESqTKSviyyXx4AaABAg,Neutral
Ugw9zS74Wt7jUfx354Z4AaABAg,Neutral
UgwA-lpAPCrlQCJ9lRd4AaABAg,Neutral
Ugwa1iKUINPB_jm8Yy14AaABAg,Relatable
Ugwa2RPjlbaYjj8lU4R4AaABAg,Neutral
Ugwa3pbzxR8GTrEOS3F4AaABAg,Neutral
UgwA4cT8KyEsWh8JZvF4AaABAg,Relatable
Ugwa5PhfIhlktP_I_Xd4AaABAg,Neutral
UgwA5uzqI9Fec1HhiE14AaABAg,Relatable
UgwA6_qHj_pl9DN9inR4AaABAg,Relatable
Ugwa6p2523TPzgVPV9B4AaABAg,Neutral
Ugwa7dUPsjhauFr7gZ14AaABAg,Neutral
Ugwa7xzk0APFPrq1bPB4AaABAg,Neutral
UgwA9k0f9o72wYnK4LJ4AaABAg,Relatable
UgwAAgep3EkItVicvUB4AaABAg,Neutral
UgwaAy1XvSaoj91zX594AaABAg,Neutral
UgwAckaqfTQs5olWFmd4AaABAg,Relatable
UgwaCL-AVSaXhmMostN4AaABAg,Neutral
UgwacRYLpJOyMOq4_KR4AaABAg,Neutral
UgwACyviYcQGAt6j0nF4AaABAg,Relatable
UgwAdirc7_uQdYwp_Dp4AaABAg,Relatable
UgwADnN4eCgUVi9tOJh4AaABAg,Neutral
UgwaECwfAo-MpupeXoh4AaABAg,Neutral
UgwAeMTWerrsPxS6XEV4AaABAg,Neutral
