comment_id,comment_text,cleaned_text,suggested_label,label
Ugzu9jWOf69GLwQNaft4AaABAg,Axalem = energy management upgrade. 🚀,axalem energy management upgrade.,Neutral,
UgzPj8YY0OQtPCrFtwN4AaABAg,"If I say truth so Prashant, shobhit and digrag these are real heroes ❤❤❤❤❤❤❤❤❤❤❤❤❤","if i say truth so prashant, shobhit and digrag these are real heroes ❤❤❤❤❤❤❤❤❤❤❤❤❤",Neutral,
Ugzrhe5mOsZW-NdrS_B4AaABAg,"Do you recommend fasting for women as well? 
I’m intrigued by Dr Stacy Sims and her claims of women not doing well fasted in the morning. I certainly felt better when I started prioritizing breakfast.",do you recommend fasting for women as well? im intrigued by dr stacy sims and her claims of women not doing well fasted in the morning. i certainly felt better when i started prioritizing breakfast.,Neutral,
UgyhQgyeLkuoqjljQcV4AaABAg,Video không chỉ hay mà còn truyền cảm hứng mạnh mẽ!,video không chỉ hay mà còn truyền cảm hứng mạnh mẽ!,Neutral,
UgyGqO66gntHYnzq4mt4AaABAg,"Raven's hax and maybe beast boy if he pulls out actually useful transformations are HARRRD carrying, though robin might tank some bs 💔","raven's hax and maybe beast boy if he pulls out actually useful transformations are harrrd carrying, though robin might tank some bs",Neutral,
UgzvSKTI-QQ2No7s0b94AaABAg,"Ladies, I’ve read this one book that quietly changed everything for me. It didn’t feel dramatic at first, but over time, I started noticing little things. I stopped over-explaining, stopped shrinking myself, and somehow people just started treating me better. It’s Veylarim Treatment by Sofia Amoretti, and it really got in my head in the best way.","ladies, ive read this one book that quietly changed everything for me. it didnt feel dramatic at first, but over time, i started noticing little things. i stopped overexplaining, stopped shrinking myself, and somehow people just started treating me better. its veylarim treatment by sofia amoretti, and it really got in my head in the best way.",Neutral,
UgwoK0jw2v1A6dFjXEl4AaABAg,The only student are in the left side is the water  bottle,the only student are in the left side is the water bottle,Neutral,
UgyvLIx39VFaI3vaIWp4AaABAg,And if you have all 4?? Your burnt-out.,and if you have all 4?? your burntout.,Neutral,
UgzAKbaWdhKGPPExqll4AaABAg,good,good,Neutral,
Ugx4SzGWJtvdYPdr3Bh4AaABAg,like it,like it,Neutral,
UgxhCY_csVKasPiVN6p4AaABAg,یعنی در لحظه شوکی بهم وارد شد که نگم 😂😂😂😂,یعنی در لحظه شوکی بهم وارد شد که نگم 😂😂😂😂,Neutral,
UgwHlN69s0qst0d9eWB4AaABAg,Bhaiya apka college name keya hai?............. Please reply dena,bhaiya apka college name keya hai?............. please reply dena,Neutral,
UgxTS3JvJBIdF3xWeld4AaABAg,I like a girl in my school and she too likes me but she doesnt know i too like her but i like her alot i stay in my boundaries but what is triggering me is that she shaked hands one time with a boy whom i dont like but she doesnt do like this but she done like that once now i am not able to forgive her and pondering why you didnt avoid that like that i am becoming rageful that why did she done like that what should i do .,i like a girl in my school and she too likes me but she doesnt know i too like her but i like her alot i stay in my boundaries but what is triggering me is that she shaked hands one time with a boy whom i dont like but she doesnt do like this but she done like that once now i am not able to forgive her and pondering why you didnt avoid that like that i am becoming rageful that why did she done like that what should i do .,Neutral,Relatable
UgwMrfNrRbD6aOn0-SF4AaABAg,6:30 NO WAY!!!!! IS THAT REALLLY YOU!??!?!?!?? DAMNNNNN,630 no way!!!!! is that reallly you!??!?!?!?? damnnnnn,Neutral,
UgzfC2Qhhbj4jHXYUfV4AaABAg,My first class at a new campus was in G108 so I spent an hour searching in G building for 108 but it turns out G108 is just an auditorium between C building and D building.,my first class at a new campus was in g108 so i spent an hour searching in g building for 108 but it turns out g108 is just an auditorium between c building and d building.,Neutral,
UgyFnCdfm6WjC1kUfRt4AaABAg,Been listening to him a few years! He’s awesome!,been listening to him a few years! hes awesome!,Neutral,
Ugzj87lEX8GnDVO-ZU94AaABAg,❤❤❤❤❤❤,❤❤❤❤❤❤,Neutral,
UgyGacEqcWQWsxRWmLF4AaABAg,D,d,Neutral,
Ugyounn16NO_C19iHrV4AaABAg,"Super clear explanation, much appreciated!👏 Totally unrelated, but I started testing Metisurge firm and it’s been working really well for me.","super clear explanation, much appreciated!👏 totally unrelated, but i started testing metisurge firm and its been working really well for me.",Neutral,Neutral
UgzwCryvkEFOEHt-aO14AaABAg,"I earn good money, have lots of benefits but I hate my job. I hate sitting at a pc in an office all day everyday","i earn good money, have lots of benefits but i hate my job. i hate sitting at a pc in an office all day everyday",Neutral,
Ugz2Ml1_LQKU3Mpk5el4AaABAg,I lost everything,i lost everything,Neutral,Relatable
Ugz_ApGvLAq_OpbjkGR4AaABAg,three alpha steps to financial freedom fr,three alpha steps to financial freedom fr,Neutral,
UgwBu5gugBTRzUdDVYh4AaABAg,I feel this emotions❤❤❤,i feel this emotions❤❤❤,Relatable,Relatable
UgwD6bITisbbRIfVe6B4AaABAg,Koi kam dhanda nhi hai,koi kam dhanda nhi hai,Neutral,
Ugz_iuEVytT87RV8vP14AaABAg,😭😭😭😭😨😞😣,😭😭😭😭,Neutral,
UgwvDvouUlO1A5D2z3d4AaABAg,Screaming effect,screaming effect,Neutral,
UgwZwcYXVgBcXzVDGvh4AaABAg,Not necessarily,not necessarily,Neutral,
UgzcJd1K5lE0KiYhKO14AaABAg,Welcome back to another video of what the fuck did i just watch,welcome back to another video of what the fuck did i just watch,Neutral,
UgxYBH8V_FLF-6YAKV94AaABAg,"started becoming lazy but still have high expectation in myself. This video is very easy to follow and i will use all of the tactics that was introduce when putting my mind on to something I need and have to do.... so yup starting college tmmrw and studying real estate, ill update myself every month on here of my progress not only from not being lazy but progressing on what im aiming to become till September 1st 2027. I wish myself Goodluck. bye","started becoming lazy but still have high expectation in myself. this video is very easy to follow and i will use all of the tactics that was introduce when putting my mind on to something i need and have to do.... so yup starting college tmmrw and studying real estate, ill update myself every month on here of my progress not only from not being lazy but progressing on what im aiming to become till september 1st 2027. i wish myself goodluck. bye",Neutral,Relatable
UgzU2D20nH0yrdbh-sx4AaABAg,"Burnout is not a one point state.  🐥 It is a complex combination of Exhaustion , Nutrition, Exercise leading to a continued state of Negativity. 😢 Identifying our Pain Points is half the battle won.  🕸 Good to see this  Taboo Subject coming out of the closet . 🔥","burnout is not a one point state. it is a complex combination of exhaustion , nutrition, exercise leading to a continued state of negativity. 😢 identifying our pain points is half the battle won. good to see this taboo subject coming out of the closet . 🔥",Neutral,Neutral
Ugz516Bum7hRB7XlCG94AaABAg,Be real you.dont fake life,be real you.dont fake life,Neutral,Neutral
UgyoL5zgKJH9YVdzHEF4AaABAg,What's one small thing everyone is going to try after watching this?,what's one small thing everyone is going to try after watching this?,Neutral,Neutral
UgzKFh380OX8mFzu-Q14AaABAg,"So basically this guy is copy and pasting a method that was invented by Francesco Cirillo, It is called pomodoro and also there is a website called pomofocus which is basically instead of putting a 25 min timer then after 5 min break then after 4 times 15 min break on your timer app pomofocus already does that for youv","so basically this guy is copy and pasting a method that was invented by francesco cirillo, it is called pomodoro and also there is a website called pomofocus which is basically instead of putting a 25 min timer then after 5 min break then after 4 times 15 min break on your timer app pomofocus already does that for youv",Neutral,
Ugw058mpP6vME-au2oN4AaABAg,If you don't enjoy something you will procrastinating it as long as possible,if you don't enjoy something you will procrastinating it as long as possible,Neutral,Neutral
UgzaGPPTE25EYVEhClh4AaABAg,this is interesting. im engaged.,this is interesting. im engaged.,Neutral,
UgwVvrqIha0RlQYo-IV4AaABAg,You have a serious booger attached to your nose bro,you have a serious booger attached to your nose bro,Neutral,
UgxvJmNIq-MmF19Wus54AaABAg,"I follow a great quote 
""Like mate, stop procrastinating"" -Bang Chan 😊","i follow a great quote like mate, stop procrastinating bang chan 😊",Neutral,Neutral
UgxH3tEyJ8d3DKTrulF4AaABAg,College live is a best life,college live is a best life,Neutral,
UgyHzEgusn-8E6YiBjp4AaABAg,"Register and and get free Certificate for the course: https://glacad.me/3kcgi7T
🔹 Topics Covered:
 Introduction - 00:00:00
1. Statistics vs Machine Learning - 00:02:22
2. Types of Statistics [Descriptive, Prescriptive and Predictive - 00:09:05
3. Types of Data - 1:50:45
4. Correlation – 2:46:02
5. Covariance – 2:52:33
6. Introduction to Probability – 4:26:55
7. Conditional Probability with Baye’s Theorem – 5:24:00
8. Binomial Distribution – 6:17:01
9. Poisson Distribution – 6:36:02","register and and get free certificate for the course topics covered introduction 000000 1. statistics vs machine learning 000222 2. types of statistics descriptive, prescriptive and predictive 000905 3. types of data 15045 4. correlation 24602 5. covariance 25233 6. introduction to probability 42655 7. conditional probability with bayes theorem 52400 8. binomial distribution 61701 9. poisson distribution 63602",Neutral,Neutral
UgxX2XQjj8uyhuxFUKJ4AaABAg,How to eaen,how to eaen,Neutral,
UgyoTwoggzBfdksHyZB4AaABAg,Please please bro we should band studies✏ we will do strake,please please bro we should band studies we will do strake,Neutral,
